Road,Road_encoded
Centerpointe Drive,1523
Colton Street,1783
West 166th Street,8602
Elliott Avenue,2888
West Avenue N,8674
Morgan Road,5206
Younglove Avenue,9193
West Imperial Highway,8784
Silverado Place,7262
Georgia Drive,3331
Mission Street,5126
North Pleasant Avenue,5665
Nider Court,5380
Oak Avenue,5784
Miraleste Drive,5104
Lemon Avenue,4464
Walnut Drive,8517
Lake Avenue,4324
Bellagio Road,785
Crane Avenue,1943
McKinney Way,4933
West Washington Boulevard,8953
Bosque Drive,982
Savannah Street,7065
1st Street,41
Vine Avenue,8459
Milpas Lane,5076
Fort Bragg-Sherwood Road,3191
Spruce Circle,7743
East Prospect Place,2674
Verdura Avenue,8352
Winchester Road,9070
Cabrillo Mesa Drive,1218
Hartnell Street,3632
South Encinitas Avenue,7454
Robinson Drive,6708
Stevens Creek Boulevard,7812
Showers Drive,7228
Neece Drive,5335
Fonthill Avenue,3161
El Dorado Freeway,2831
Morella Avenue,5199
Palmyra Drive,6029
West Manchester Avenue,8832
Nantucket Drive,5308
South Quince Avenue,7595
Rio Dixon Road,6635
Northrup Street,5757
Sheldon Road,7193
Brommer Street,1075
Sierra Madre Road,7242
La Crescenta Avenue,4254
South Sacramento Freeway,7612
Victoria Avenue,8434
Dunbarton Avenue,2286
North Shaffer Street,5702
Keats Avenue,4134
Spinnaker Drive,7718
Del Rosa Avenue,2137
Tarshes Drive,8001
West Orchard Avenue,8864
Valdivia Drive,8278
Sepulveda Boulevard,7127
Anaheim Boulevard,366
Fulton Trail,3258
Johnston Street,4070
Alpine Circle,313
Utility Access Road West,8272
Keswick Street,4177
South Maxine Street,7548
Baldwin Avenue,655
Conejo Crest Trail,1806
East C Street,2436
South 18th Street,7355
Aster Street,511
1st Street,41
Powerline Road,6379
112th Street East,8
Paseo Camarillo,6110
Buchanan Street,1117
East Belmont Avenue,2414
Locust Avenue,4577
Rosedale Avenue,6784
1st Street,41
West Poplar Street,8877
Richardson Canyon Road,6597
West Lerdo Highway,8809
Park Street,6077
East French Camp Road,2513
West Kamm Avenue,8794
Jastro Avenue,4019
Algonquin Drive,255
South Forest Avenue,7466
1st Street,41
Vista Del Sol,8483
Harris Street,3620
Duberstein Drive,2278
Southwest Boulevard,7700
Marguerite Parkway,4808
Thelma Avenue,8061
Lower Azusa Road,4682
Pine Street,6241
Castlemont Circle,1484
East Brisbane Street,2429
Bee Canyon Trail,766
Gladstone Drive,3358
South Occidental Boulevard,7571
San Carlos Street,6924
Micheltorena Street,5034
Paseo Ranchero,6115
Forest Grove Drive,3176
Bryant Street,1110
Ives Terrace,3982
Foster Road,3195
East Herring Avenue,2543
East Palmdale Boulevard,2653
Seminole Way,7122
Manzanita Street,4787
Oak Ridge Drive,5796
Mission Street,5126
Margaret Fleming Nature Trail,4803
North Saint Louis Street,5692
Freeport Boulevard,3229
Kern Street,4173
166th Street,29
Sereno Drive,7136
Bridge Road,1049
6th Street,125
Victoria Gardens Lane,8437
1st Street,41
Civic Center Drive,1667
Foothill Freeway,3166
Sprague Court,7722
Bolero Lane,957
54th Street,106
Lillis Road,4509
Cole Street,1758
Mills Avenue,5074
Juniper Street,4107
Valle Avenue,8289
9th Street,149
Channel Path,1555
Ribisi Circle,6592
Greene Street,3500
Pacific Coast Highway,5999
CA 20,1185
San Julian Avenue,6954
High Street,3739
Duarte Road,2276
Long Lane,4616
Sunglow Street,7891
East Charleston Road,2455
Pine Hill Lane,6237
Pine Hill Lane,6237
Mills Court,5075
1st Street,41
Lynette Way,4707
Clayton Road,1700
Sleepy Hollow Lane,7314
Laurel Court,4416
Waldears Path,8508
Foothills Boulevard,3169
Elder Creek Road,2862
Crescent Avenue,1960
South Central Avenue,7421
East 47th Place,2349
Gardner Avenue,3291
West 135th Street,8596
Vernal Drive,8358
Broadway Avenue,1067
Deborah Street,2096
Atkinson Street,521
Vineland Avenue,8464
Hazeltine Avenue,3664
Foster Road,3195
Fircrest Avenue,3112
West Avenue 42,8669
Santa Maria Avenue,7033
Edgewood Road,2790
Mission Vista Drive,5131
Plum Ranch Road,6297
Ardilla Avenue,440
West Sunset Boulevard,8929
Carey Drive,1406
Newport Avenue,5371
West Harney Lane,8773
Roscoe Boulevard,6777
The Promenade,8055
Heritage Way,3701
1st Street,41
Beverly Avenue,836
Toolen Place,8121
Winchester Way,9071
Pulgas Avenue,6424
La Cima Drive,4251
White Fir Loop,8998
Ivy Avenue,3983
1st Street,41
Roscoe Boulevard,6777
Quill Drive,6451
Moorpark Street,5194
Pio Pico Drive,6260
Canvasback Court,1384
Sierra Way,7250
Denton Place,2150
1st Street,41
Roswell Avenue,6797
North B Street,5450
Chestnut Street,1608
Biscayne Court,875
East 47th Place,2349
La Bajada Avenue,4245
Beach Boulevard,736
Enadia Way,2925
Motor Avenue,5230
Bonair Road,963
Sumner Avenue,7879
Ceres Court,1534
East Slauson Avenue,2708
Schwab Street,7089
Davis Lane,2074
Bird Way,872
Amistad Avenue,360
Raymond Way,6522
Cooper Avenue,1827
Carnell Street,1427
Palmwood Drive,6028
1st Street,41
1st Street,41
Foster Road,3195
Wetumka Road,8988
Yucca Drive,9198
First Lift Canal,3118
Buena Vista Avenue,1134
Amador Street,334
Renada Place,6570
Woodmont Way,9134
Helen Street,3688
Campus Road,1363
Harleigh Drive,3608
Micheltorena Street,5034
Devoy Drive,2171
Ranchito Street,6492
West 18th Street,8606
South Westwood Avenue,7676
Via la Luna,8430
54th Frontage Street,105
Thornhill Drive,8077
Valley Boulevard,8295
Frederick Street,3222
East 22nd Street,2338
West Canada,8699
Murre Lane,5297
Marjorie Avenue,4829
Stonesgate Street,7834
Sedan Avenue,7116
Strozier Avenue,7849
Lewis Avenue,4486
Vineland Avenue,8464
South Halstead Street,7485
1st Street,41
North Mountain Avenue,5631
Ruth Lane,6839
Lemon Crest Drive,4465
South Lemon Avenue,7524
1st Street,41
Periwinkle Court,6195
West 115th Street,8590
Rockledge Lane,6731
East Lincoln Avenue,2580
Del Monte Avenue,2125
Academy Road,168
Hidden Farm Road,3726
West Washington Street,8954
South Stockton Street,7636
Ambrose Avenue,348
Bruce Street,1099
Santa Fe Street,7024
Regatta Drive,6560
Skyview Drive,7305
Wesley Avenue,8587
Arrow Boulevard,471
Eastern Avenue,2757
Capitol Avenue,1398
Viejo Road,8440
1st Street,41
Norwich Avenue,5763
Dobbins Street,2204
San Diego Freeway,6929
Clarkdale Avenue,1685
Santiago Creek Trail,7054
Martin Luther King Junior Boulevard,4852
Salmina Road,6895
Pine Tree Terrace,6242
Mira Vista,5099
North 2nd Street,5429
Leisure Park Circle,4458
Southlite Circle,7695
Oak Avenue,5784
North Milpas Street,5624
Van Valin Place,8321
Cody Way,1746
Costa Mesa Freeway,1873
East 76th Place,2362
Chakemco Street,1546
Kilkenny Court,4184
Los Angeles River Bike Path,4645
Charise Court,1569
West Washington Boulevard,8953
177th Street,34
Radford Front Line Road,6459
Miradero Drive,5103
Enadia Way,2925
Summer Avenue,7860
Mount Umunhum Road,5250
Triangle Court,8179
Bradford Street,1013
1st Street,41
Magnolia Avenue,4742
30th Street,67
CA 91,1201
Ruffin Trail,6823
Rancho Street,6499
East 1st Street,2334
Loch Lomond Court,4569
Westminster Avenue,8973
Rose Street,6783
Jockey Circle,4052
Chester Drive,1603
West 135th Street,8596
Rockefeller Lane,6725
22nd Avenue,50
Hill Avenue,3760
West Cesar Chavez Boulevard,8711
El Camino Real,2816
Hillside Drive,3776
West Rose Street,8896
Yale Street,9170
Calle Frederico,1273
West 58th Street,8637
1st Street,41
West Washington Boulevard,8953
Westminster Avenue,8973
West Avenue,8664
Monterey Road,5178
Mina Rica Drive,5081
South Leslie Street,7526
Hawthorne Street,3654
South Brookhurst Street,7405
54th Street,106
Delgado Canyon Trail,2141
Parkyns Street,6101
Beach Boulevard,736
Magnolia Avenue,4742
Boughton Place,986
Niblick Road,5377
1st Street,41
Lockford Street,4575
West MacArthur Boulevard,8828
West 27th Street,8620
Sierra Place,7243
East 17th Street,2332
Chestnut Street,1608
Sycamore Avenue,7951
Lone Dove Lane,4609
Jeffery Avenue,4030
1st Street,41
Douglass Lane,2254
Yorktown Avenue,9189
Haynes Street,3657
Mount Tallac Trail,5249
Claremont Avenue,1672
South Manchester Avenue,7542
Frampton Avenue,3208
College Avenue,1767
Pierce Avenue,6224
Lomay Avenue,4604
8th Avenue,143
Peachwood Court,6153
West Avenue 2,8667
Texas Hill Road,8047
CA 99,1203
West Henderson Avenue,8780
145th Street,20
North Macy Street,5604
Martin Avenue,4849
Auberry Road,530
Turnberry Drive,8219
West Brighton Avenue,8691
North Dunn Street,5509
South 20th Street,7358
Rosehedge Drive,6785
Miranda Lane,5113
Parkland Drive,6092
Laurel Road,4419
Fairview Road,3019
Cheshire Street,1600
Russell Avenue,6833
Sharon Road,7174
South White Road,7677
Lancaster Street,4356
San Pablo Avenue,6971
Fescue Way,3091
Buckingham Way,1127
South Normandie Avenue,7567
1st Street,41
Hidden Valley Lane,3729
West 168th Street,8603
Parkmont Drive,6095
Olive Avenue,5897
City Creek Road,1663
Harbor Transitway,3598
Hazeltine Avenue,3664
Merrywood Drive,5008
Mangum Street,4770
Bentwood,807
Cripple Creek Road,1983
Clarkdale Avenue,1685
Del Rosa Avenue,2137
Manuella Avenue,4783
1st Street,41
Buckingham Park Court,1124
Hauser Boulevard,3643
R Street,6455
West 24th Street,8616
Walnut Way,8521
West Rosamond Boulevard,8894
Willow Brook Avenue,9045
South Placentia Avenue,7587
Nylic Court,5775
County Road P,1914
Merrill Drive,5004
West Mells Lane,8842
Nashville Avenue,5315
1st Street,41
East F Street,2498
Independence Avenue,3923
Windsor Avenue,9081
North Workman Street,5746
East Harvard Boulevard,2535
Maid Mariane Lane,4748
Jarvis Avenue,4014
Barkentine Street,689
1st Street,41
Wilma Street,9057
Templeton Street,8024
Paru Street,6107
Ponce de Leon Avenue,6337
Walnut Street,8520
30th Street,67
1st Street,41
Madrona Leaf Court,4736
Fowler Avenue,3201
Emerson Avenue,2911
South Siskiyou Avenue,7625
Chestnut Street,1608
Golf Links Road,3424
Lakme Avenue,4349
Campus Drive,1362
East Hedges Avenue,2538
McKinney Way,4933
University Avenue,8257
Bay Trail,725
Hopkins Street,3836
MacArthur Boulevard,4721
Chestnut Street,1608
East Pitt Avenue,2663
Golden Rain Road,3412
Modoc Street,5144
Dublin Drive,2279
Doreen Avenue,2237
Nina Way,5390
Miramar Drive,5109
2nd Street,65
West Manchester Avenue,8832
Harris Avenue,3617
Hollister Street,3802
Carob Way,1429
East Franklin Avenue,2512
Via Rita,8408
1st Street,41
1st Street,41
Smith Avenue,7322
Oakdale Street,5809
West MacArthur Boulevard,8828
Dixie Drive,2198
1st Street,41
Sundance Trail,7889
Utah Avenue,8270
South Harbor Boulevard,7486
Broadway Street,1068
Clay East Road,1696
Citrus Avenue,1659
Shorb Street,7217
Carlson Drive,1414
Crowley Street,1994
Oat Hill Fire Road,5825
Melon Court,4978
West Tennyson Road,8936
Arrow Route,474
Rexford Avenue,6582
Keel Street,4136
Jouglard Street,4087
I 110 North,3896
South Trojan Street,7652
Poorman Creek Road,6343
Genevieve Street,3323
Forster Canyon Trail,3190
Baker Drive,639
66th Street,121
Lassen Court,4402
North Broadway,5474
41st Avenue,88
Magnolia Avenue,4742
West 16th Street,8604
San Pascual Avenue,6972
Matagual Drive,4870
45th Street,93
North Blackstone Avenue,5463
Gleneagle Way,3381
Ming Avenue,5089
Tracy Drive,8152
Knollcrest Drive,4219
Ashwood Way,507
Redrock Court,6545
North Madden Street,5605
1st Street,41
1st Street,41
Bruceville Road,1100
Paisley Avenue,6010
North 1st Avenue,5427
San Vicente Trail,6984
South Brierwood Avenue,7401
West 66th Street,8643
Oak Hill Terrace,5793
Boardwalk Drive,938
East Bay Avenue,2407
Kelley Court,4144
West Hammer Lane,8771
Huston Street,3888
Pinewood Drive,6251
Jasmine Avenue,4015
Evening Star Drive,2982
Telegraph Road,8018
Andara Road,372
Post Avenue,6366
Minnesota Street,5092
South Bernardo Avenue,7395
Edenhurst Avenue,2773
San Bernardino Road,6919
Riverside Avenue,6659
Christine Street,1630
Dennis Avenue,2149
Brown Lane,1090
4th Street,102
Ambler Avenue,346
Clifton Boulevard,1719
Flora Avenue,3142
West Earl Way,8736
Cribari Crest,1981
1st Street,41
Manteca Avenue,4779
Haley Street,3565
El Camino Real,2816
East South Avenue,2710
Laurelview Court,4423
North Muscatel Avenue,5634
East California Avenue,2439
East 32nd Street,2343
Benito Avenue,802
East Via Verde Street,2735
South Centinela Avenue,7420
Railroad Avenue,6464
Ballard Drive,659
San Francisco Bay Trail,6939
East Shields Avenue,2706
Washington Avenue,8543
Arroyo San Miguel Trail,481
Sea View Drive,7104
1st Street,41
North Safford Avenue,5691
Vanessa Street,8324
Harrow Avenue,3625
West 65th Street,8642
East Lindsay Street,2582
Via del Norte,8426
MGR Paseo,4718
West 37th Place,8626
Sunset Boulevard,7913
Cottle Avenue,1882
Vintage Drive,8468
Via Pasar,8405
Reagan Road,6525
Buttermilk Lane,1172
Telegraph Avenue,8017
West Glenoaks Boulevard,8759
Gainford Street,3265
Shoemake Avenue,7216
Live Oak Avenue,4556
Louisiana Street,4676
Rosedale Avenue,6784
Bay Street,724
West 41st Street,8631
Camino de la Reina,1351
34th Street,75
West 15th Street,8601
Park Avenue,6066
Enrico Boulevard,2931
Sinclair Freeway,7275
West Washington Street,8954
Redwood Avenue,6550
Sand Highway,6991
Pueblo Drive,6422
Carson Street,1447
South 5th Avenue,7366
Miners Trail,5087
Arroyo Avenue,477
Locust Street,4579
Sherburne Hills Road,7200
Briggs Avenue,1053
Charlemagne Avenue,1570
El Selinda Avenue,2852
Cordova Drive,1836
East 4th Street,2352
Pacific Avenue Frontage East Road,5998
Beaver Lake Drive,753
Monte Bonito Drive,5161
Everest Avenue,2984
Fort Bragg-Sherwood Road,3191
West Main Street,8830
Eagan Street,2310
Calle Miramar,1285
North Lincoln Street,5597
Damiano Lane,2042
South Citrus Avenue,7425
Calle Castano,1269
Ascot Avenue,494
Otto Street,5980
North Fulton Street,5540
Washington Avenue,8543
Graves Avenue,3471
Via Barlovento,8371
Caxton Court,1498
Allegheny Court,270
Bolero Avenue,955
Parmelee Avenue,6102
Humboldt Avenue,3865
North Belle Street,5461
San Simeon Road,6978
Upland Street,8261
Linda Vista Way,4531
Piccard Avenue,6215
B Street,621
Lewiston Place,4490
Woodcreek Oaks Boulevard,9118
Ambler Avenue,346
Guilitoy Avenue,3540
Butano Drive,1167
Sonoma Way,7345
Calera Creek Heights Drive,1240
Fenham Street,3081
Florey Court,3150
Ash Court,497
San Bernardino Road,6919
Golf Course Drive,3423
Moulton Parkway,5231
East Via Wanda,2736
Overland Trail,5984
West Sierra Avenue,8917
Glenwood Court,3390
1st Street,41
East Camino Vista,2442
Quigley Street,6450
Dolan Avenue,2214
Compton Avenue,1798
South Western Avenue,7673
Cartier Lane,1452
Henderson Way,3695
Shain Avenue,7166
Parker Creek Drive,6088
South Imperial Avenue,7504
Kirby Lane,4203
Creston Lane,1972
San Anselmo Avenue,6912
East 76th Place,2362
State Street,7792
Wheeler Drive,8991
West 64th Place,8639
Glendora Avenue,3380
McKinney Way,4933
South 12th Street,7353
Milldale Circle,5067
Benson Avenue,806
North Myrtle Drive,5635
North Raymond Avenue,5672
Wadsworth,8501
Berkshire Place,813
Loma Vista Drive,4599
West Victoria Avenue,8945
Micheltorena Street,5034
Sepulveda Boulevard,7127
Beyer Way,843
Manzanita Street,4787
1st Street,41
Ygnacio Valley Road,9183
Bruce Avenue,1097
1st Street,41
West Kenneth Road,8797
California Coastal Trail,1252
Stewart Lane,7814
San Carlos Street,6924
North Pennsylvania Avenue,5660
West Lugonia Avenue,8825
Bolero Lane,957
Spanish Creek Road,7707
East Conejo Avenue,2470
East Nohl Ranch Road,2626
Edgewood Court,2787
Buckingham Road,1126
Clearview Court,1705
North 3rd Street,5430
Finley Road,3110
Hidden Lane,3727
North Bald Mountain Road,5451
Wilson Court,9062
1st Street,41
East Princeton Street,2673
Hoefner Avenue,3791
Kellogg Street,4148
Leavey Road,4444
Price Street,6396
Biggar Lane,860
East Tulare Avenue,2728
East Madison Avenue,2592
Bishop Creek Circle,877
4th Avenue,101
Opal Street,5924
East 124th Street,2324
Kinsler Court,4200
North Encinitas Avenue,5519
Portico Way,6357
Hazeltine Avenue,3664
South Park Avenue,7577
Trujillo Way,8196
County of Orange Flood Section,1915
73rd Street,130
Louise Avenue,4675
Oxnard Street,5992
1st Street,41
Pueblo Road,6423
34th Street,75
Geary Boulevard,3314
Tully Road,8210
Antoine Drive,396
4th Street,102
Foothill Freeway,3166
West 15th Street,8601
Mahee Street,4747
Winding Ridge Court,9079
Cheetah Trail,1586
North Santa Cruz Avenue,5698
Yolanda Avenue,9184
McLean,4937
Esperanza Street,2952
Foster Road,3195
North Stichman Avenue,5712
De Berry Street,2084
West H Street,8768
Williams Street,9040
Davis Street,2076
Rufus Drive,6824
West Avenida Santiago,8663
Oakheath Drive,5812
Beverly Hills Drive,838
Coos Court,1829
Jenny Lane,4037
Hall Road,3570
Degnan Boulevard,2119
Lewis Avenue,4486
North Moorpark Road,5628
Cardiff Court,1401
Pine View Drive,6244
Alabama Avenue,222
East Victoria Street,2737
Felicidad,3075
South 22nd Street,7359
Postal Avenue,6367
North Hacienda Boulevard,5561
West 135th Street,8596
Eagle Rock Boulevard,2315
Rexford Avenue,6582
Diamond Road,2182
Shiloh Way,7213
Heidi Circle,3685
Ellenview Avenue,2886
Sutter Creek Ranchos Road,7935
40th Street,86
North Nantes Avenue,5636
Frampton Avenue,3208
Astoria Street,515
Zanetta Drive,9201
Aliso Creek Bikeway,263
East Marina Drive,2598
R Street,6455
North 10th Street,5424
Sepulveda Boulevard,7127
Calle Santa Cruz,1297
Ridge Lane,6609
North Morgan Street,5629
K Street,4113
Limpach Road,4517
Butler Avenue,1168
East 14th Street,2329
Federal Avenue,3071
Lakeshore Boulevard,4338
Airport Road,214
South Citrus Avenue,7425
McLean,4937
Chester Street,1605
Linda Vista Road,4530
Riverside Drive,6662
California Boulevard,1250
Orange,5928
8th Street,144
East Miraloma Avenue,2611
South Spaulding Avenue,7630
Mc Clelland Street,4897
1st Street,41
Masline Street,4866
Lagunitas Court,4318
Buchanan Way,1118
West Cocoa Street,8718
University Avenue,8257
Mary Avenue,4860
North San Mateo Drive,5695
West Manchester Avenue,8832
Guadalupe Freeway,3536
Center Avenue,1518
South Mission Street,7554
Larchmont Drive,4374
Caroline Way,1432
Daniel Lane,2045
1st Street,41
Louisiana Street,4676
Long Road,4617
Montpelier Drive,5186
North Golden State Boulevard,5552
North Hicks Avenue,5569
Warbler Court,8526
15th Street,27
Gooseberry Motorway,3431
West 6th Street,8644
Elk Grove Lane,2879
20th Street,45
Bicycle and Foot Path,846
Priam Drive,6394
Front Street,3244
Noble Avenue,5399
Baronet Place,702
Harding Avenue,3602
Park Boulevard,6067
Mallorca Lane,4763
West 58th Street,8637
Elsa Street,2897
15th Avenue,26
El Dorado Freeway,2831
West View Street,8947
North Saint Louis Street,5692
Salt Lake Avenue,6901
John Street,4065
Cerrito Avenue,1536
Malarin Avenue,4756
Old Springs Trail,5883
Ridgewood Road,6622
Hillside Road,3777
Lancaster Street,4356
Lilac Street,4507
Napa Street,5311
Roca Road,6715
Ethan Way,2965
De Mattei Court,2087
Market Street,4830
Columbus Avenue,1788
Linwood Street,4542
Oak Grove Trail,5791
South Riverside Avenue,7607
Kirkcaldy Drive,4206
North Mangrove Avenue,5608
Cloverdale Avenue,1725
Holloway Avenue,3804
Embassy Circle,2905
East Miner Avenue,2610
South Vale Avenue,7658
Olive Avenue,5897
Terracina Boulevard,8041
West Orangethorpe Avenue,8863
Barlow Lane,694
Circle R Drive,1652
College Avenue,1767
Plantation Way,6278
El Camino Real,2816
North Davidson Avenue,5501
Westminster Boulevard,8974
Monterey Boulevard,5175
Monte Vista Drive,5165
Kraft Avenue,4233
Kiwi Glen,4215
Willis Road,9043
Little Acres Lane,4547
Ironwood Drive,3966
Andalusia Avenue,370
South Citrus Avenue,7425
Marklein Avenue,4832
Red Hook Trail,6534
Solano Avenue,7332
East 66th Street,2357
West Greenleaf Boulevard,8764
Santa Monica Beach Path,7035
Ohio Avenue,5850
CA 88,1200
Peerless Drive,6164
East Pine Avenue,2660
Ravens Roost Lane,6519
Junipero Serra Freeway,4109
Coronado Lane,1849
Erica Way,2938
Midvale Avenue,5044
Hermosa Street,3705
Kirkham Street,4208
Caleta Lane,1244
East Perimeter Trail,2659
East Alder Street,2375
East Lorena Avenue,2585
Emerald Street,2910
Fairfield Lane,3000
Larch Avenue,4373
East Avenue,2394
Spruce Circle,7743
Higgins Court,3733
Barbara Avenue,680
Richmond Parkway,6601
Sylvan Avenue,7961
25th Street,58
24th Street,55
Wildcat Creek Trail,9026
Washington Place North,8546
1st Street,41
Lincoln Avenue,4519
South Park Avenue,7577
Arnold Avenue,463
Fulton Lane,3256
East Erie Street,2495
Vaseline alley,8330
Topanga Canyon Boulevard,8122
Twenty Mule Team Road,8233
Anne Street,390
West Avenue 31,8668
East Lindsay Street,2582
Orinda Circle,5952
Sunset Way,7922
Foresta Road,3185
Falda Avenue,3030
166th Street,29
West Beacon Avenue,8680
Pali Avenue,6018
Petaluma Avenue,6202
Jefferson Street,4029
East Commerce Way,2467
Park to Playa Trail,6082
Oak Street,5799
Napa Road,5310
Rhonda Road,6588
Beverlywood Street,839
Michigan Avenue,5035
Carlton Street,1415
Lion Meadows Trail,4543
Holmes Avenue,3816
Montezuma Road,5183
Creekside Drive,1954
Bryant Street,1110
Filbert Street,3101
West Saint Gertrude Place,8900
Chapel Avenue,1560
Meadowview Road,4963
East Dominguez Street,2486
Josephine Avenue,4083
Santa Margarita Parkway,7032
I Street,3902
Bear Avenue,745
South Mellon Avenue,7552
Picador Boulevard,6214
El Cerro Drive,2824
Gondring Road,3426
Rose Street,6783
Pine Street,6241
Frazier Mountain Park Road,3220
Loma Linda Drive,4593
East Avenue,2394
South 5th Street,7367
Neptune Avenue,5346
Ramona Avenue,6483
Vine Road,8461
5th Place,115
Woodbine Drive,9115
Esmeralda Avenue,2950
East Rio Grande Street,2681
Hyde Avenue,3893
Rosewood Avenue,6791
School House Road,7084
North Laurel Avenue,5585
Descanso Avenue,2157
44th Street,92
Peach Tree Circle,6152
Mills Avenue,5074
San Carlos Fire Road,6923
Shakota Trail,7168
Albright Avenue,234
Van Nuys Boulevard,8318
Fairgrounds Drive,3002
Folsom Boulevard,3156
Civic Center Drive,1667
Arden Creek Road,436
East Lincoln Avenue,2580
Hermitage Avenue,3702
East Weber Avenue,2744
Lockewood Lane,4574
CA 85,1199
Udall Street,8247
Marengo Street,4799
North Mary Avenue,5615
Emerson Road,2912
East Palm Drive,2652
Valle Avenue,8289
Road 140,6672
Chateau Drive,1583
Loma Linda Court,4592
Foothill Road,3168
Clarkdale Avenue,1685
Keller Street,4143
Thorn Street,8075
Miramar Street,5110
McBain Avenue,4907
East Shields Avenue,2706
West 66th Street,8643
Via Marina,8397
Pearl Avenue,6158
Westbrook Lane,8967
Blossom Valley Drive,909
Paseo del Campo,6123
54th Street,106
Ronda Drive,6764
Dale Street,2037
1st Street,41
Greenacres Road,3494
Curson Avenue,2011
Orange Drive,5931
Bieghle Alley,850
Adrian Road,196
Ironwood Street,3968
Venice Beach Bike Path,8338
K Street,4113
Candy Lane,1376
Ocean View Boulevard,5842
Long Beach Boulevard,4614
West Commonwealth Avenue,8719
East Hellman Avenue,2539
2nd Avenue,64
Nectarine Street,5333
Newland Street,5368
South Grand Avenue,7479
Lakeshore Drive,4340
1st Street,41
Dollar Mountain Drive,2217
Occidental Road,5833
Vaughn Avenue,8332
South McDowell Boulevard,7549
Chuck Yeager Road,1633
Irving Place,3972
Montclair Street,5160
Arrow Lane,473
Eureka Drive,2979
Love Circle,4677
Johnson Street,4069
1st Street,41
Live Oak Springs Canyon Road,4558
Iliff Street,3914
Centennial Avenue,1516
Rivercrest Lane,6654
Alder Hill Road,240
West Jefferson Boulevard,8792
Tyler Road,8238
East Capitol Expressway,2444
Cottonwood Creek Road,1884
11th Avenue,9
11th Avenue,9
South 5th Avenue,7366
Eagle Canyon Road,2311
Southgate Avenue,7694
Los Olivos Lane,4656
Corte Via,1866
9th Avenue,148
Arroyo Burro Trail,478
1st Street,41
North Michigan Street,5621
Ridgewood Drive,6621
Walnut Avenue,8516
Olympic Boulevard,5912
Industrial Avenue,3938
Tres Ninos Corte,8178
Wisecarver Lane,9100
Carnell Street,1427
Vaseline alley,8330
Nevada Court,5353
Rose Avenue,6778
East Beck Avenue,2411
Cedar Street,1509
Palm Drive,6023
Kearny Avenue,4132
Birchcrest Road,869
Woodley Avenue,9131
East Capitol Expressway,2444
El Selinda Avenue,2852
East Fork Hall Canyon Road,2509
Brink Avenue,1057
Faxon Avenue,3064
Mount Woodson Trail,5253
San Fernando Road West,6937
Palomar Airport Road,6032
Garden Drive,3281
American Flat Road,350
Saint Elmo Drive,6879
Foothill Boulevard,3162
Ocean Avenue,5834
West Caldwell Avenue,8695
Carpinteria Avenue,1435
Hawley Boulevard,3649
CA 37,1190
Morey Drive,5204
1st Street,41
Lomay Avenue,4604
24th Street,55
Parker Street,6089
Sharon Road,7174
West G Street,8754
Adobe Road,194
Oregon Street,5950
South Street,7638
Novato Boulevard,5767
Ambler Avenue,346
Hermosa Street,3705
Fig Lane,3098
Euclid Avenue,2973
O'Melveny Avenue,5779
Seminole Drive,7121
1st Street,41
Ashwood Court,505
Via Del Rey,8386
South Manchester Avenue,7542
Walnut Drive,8517
CA 85,1199
California Avenue,1249
Shoemake Avenue,7216
Peninsula Avenue,6179
Cahalan Avenue,1223
Red Rock,6538
Kilkenny Court,4184
Leaning Oak Drive,4440
Vinedo Lane,8463
Marquette Avenue,4839
Overlook Drive,5985
North Patterson Avenue,5657
Winston Avenue,9092
Nashville Avenue,5315
Gaynor Avenue,3312
Kelly Road,4150
Rose Avenue,6778
Webster Street,8574
4th Street,102
Fulton Lane,3256
Altadena Drive,325
Johnston Street,4070
Oakwood Drive,5823
Park Avenue,6066
Spring Hill Road,7727
Pickford Street,6217
Moreno Drive,5202
Spring Street,7729
East Huntington Boulevard,2550
1st Street,41
East Anaheim Street,2381
Whipple Road,8994
Bayshore Bikeway,728
Pintail Drive,6258
Almeria Avenue,304
Oxnard Street,5992
Serrano Road,7142
South Vancouver Avenue,7661
Plumas Way,6302
East Cypress Street,2478
1st Street,41
Levee Path,4483
Montrose Avenue,5187
US 101,8242
Florida Street,3151
Water Street,8551
Johntown Creek Road,4071
East Ruddock Street,2693
Carlton Street,1415
East 115th Place,2321
Fremont Street,3234
Canal Drive,1371
Tide Avenue,8092
1st Street,41
Holder Street,3796
North Alvarado Street,5439
CA 108,1177
Six Flags Circle,7287
McKinney Way,4933
MacArthur Boulevard,4721
Avenue 13 1/4,564
Dwight Lane,2305
Louisburg Street,4674
South 7th Street,7370
Tulane Road,8204
Perch Circle,6192
Dogtown Road,2212
Brooks Street,1083
Rutherdale Road,6840
Garnet Avenue,3297
West Baseline Road,8677
Sandalia Circle,6993
West 3rd Street,8629
Date Court,2064
McKinney Way,4933
Flint Avenue,3136
Irish Ridge Road,3961
East Latham Avenue,2571
Webster Street,8574
Miller Road,5069
Dalzell Street,2041
Ashton Drive,504
McConnell Avenue,4916
South Mary Avenue,7547
Valencia Gallop Trail,8280
East Evan Hewes Highway,2496
Cordova Drive,1836
Lompico Road,4607
1st Street,41
West 3rd Avenue,8628
Lewis Avenue,4486
1st Street,41
Cochran Street,1741
Princeton Avenue,6401
Providence Road,6415
University Square Drwy,8260
Gladstone Street,3359
South Street,7638
Clyde Avenue,1731
